,channel,electrode,x,y,orig_channel,mean_amp,spike_count,spike_amp_product
204,204,9075,962.5,717.5,204,0.4645472049713135,0.7034587324063557,2.494795725329705
205,205,8952,2660.0,700.0,205,0.39392797946929936,0.8086343622149529,2.521106042121034
206,206,18079,682.5,1435.0,206,0.31183283329010014,0.0534381144875572,1.3819347064239929
207,207,19799,3832.5,1557.5,207,,,
208,208,9070,875.0,717.5,208,0.7054615020751953,0.9026699975540136,3.244930431981876
209,209,12716,3080.0,997.5,209,0.34196319580078127,0.28958234918513603,1.7305720505607642
210,210,20286,805.0,1610.0,210,0.43819327354431153,0.6586056266345739,2.3853954556885917
211,211,21764,3570.0,1715.0,211,,,
212,212,9071,892.5,717.5,212,0.5667370319366455,0.38093540929014685,2.163562644447462
213,213,8718,2415.0,682.5,213,0.31975970268249515,0.0,1.3197597026824952
214,214,16339,1032.5,1295.0,214,0.3176170825958252,0.0,1.317617082595825
215,215,13387,3272.5,1050.0,215,0.5232960224151612,0.6799356645344682,2.5590393156987257
216,216,9732,910.0,770.0,216,0.4092643737792969,0.7864748227202654,2.5176153223133553
217,217,4794,3045.0,367.5,217,0.3196004390716553,0.5481183606300648,2.042897668422325
218,218,18520,700.0,1470.0,218,0.354735541343689,0.3328774135185061,1.8056964043477692
219,219,15136,3080.0,1190.0,219,0.36411418914794924,0.0,1.3641141891479491
220,220,8605,437.5,682.5,220,0.3506751775741577,0.24669343188130163,1.683877872486813
221,221,15134,3045.0,1190.0,221,,,
222,222,15685,1137.5,1242.5,222,0.3368118286132813,0.0534381144875572,1.4082485321590383
223,223,21338,3815.0,1680.0,223,0.4142312049865723,0.0,1.4142312049865722
224,224,6000,1050.0,472.5,224,0.4103975296020508,0.12076217670674765,1.580720205298614
225,225,11390,2975.0,892.5,225,0.35091700553894045,0.30989857741838345,1.7695642637657603
226,226,20262,385.0,1610.0,226,0.35869617462158204,0.0534381144875572,1.4313023363548159
227,227,19760,3150.0,1557.5,227,0.37450075149536133,0.0913530601050108,1.5000656012610996
228,228,9515,962.5,752.5,228,0.37303502559661866,0.31602966458654785,1.8069548242015
229,229,12934,3045.0,1015.0,229,0.38456130027770996,0.32749729480258966,1.838001380607016
230,230,18070,525.0,1435.0,230,,,
231,231,19903,1802.5,1575.0,231,0.34750554561614994,0.12076217670674765,1.51023324842917
232,232,6443,1102.5,507.5,232,0.7994514465332032,0.6729360759908743,3.0103672418993597
233,233,9172,2660.0,717.5,233,0.3479134559631348,0.7468044772274811,2.354541259791571
234,234,16115,962.5,1277.5,234,,,
235,235,20239,3832.5,1592.5,235,0.29404425621032715,0.0,1.2940442562103271
236,236,3332,560.0,262.5,236,0.34596281051635747,0.0913530601050108,1.4689206320445676
237,237,11609,2957.5,910.0,237,0.3991135597229004,0.8254821111469112,2.55405677473723
238,238,20043,402.5,1592.5,238,,,
239,239,19541,3167.5,1540.0,239,,,
240,240,8846,805.0,700.0,240,0.4058670520782471,0.16510740282581546,1.637986109765272
241,241,6538,2765.0,507.5,241,0.31283154487609866,0.0534381144875572,1.382986787274064
242,242,16116,980.0,1277.5,242,0.27116920948028567,0.0534381144875572,1.3390980952295506
243,243,19540,3150.0,1540.0,243,,,
244,244,6881,1067.5,542.5,244,0.6097270488739014,0.8064772828558231,2.907935345389248
245,245,9391,2642.5,735.0,245,,,
246,246,12364,770.0,980.0,246,0.32818326950073246,0.0534381144875572,1.3991588791167706
247,247,22762,1785.0,1802.5,247,,,
248,248,6885,1137.5,542.5,248,0.4418931007385254,0.6925658724287335,2.440499054000474
249,249,8278,2415.0,647.5,249,0.35853061676025394,0.0913530601050108,1.482636545847651
250,250,21142,385.0,1680.0,250,0.43392648696899416,0.8549414256569995,2.659849642025599
251,251,14607,1522.5,1155.0,251,,,
252,252,7736,630.0,612.5,252,0.3545498847961426,0.38093540929014685,1.8705458995648825
253,253,6757,2747.5,525.0,253,0.3893563508987427,0.5930506461019053,2.2133150324650273
254,254,19800,0.0,1575.0,254,0.5226789474487304,0.0,1.5226789474487306
255,255,16227,2922.5,1277.5,255,,,
256,256,3117,647.5,245.0,256,0.5962291240692139,0.9101410375955469,3.0490227552897995
257,257,14907,2922.5,1172.5,257,0.38021576404571533,0.0913530601050108,1.5063026976964669
258,258,18290,525.0,1452.5,258,,,
259,259,13375,3062.5,1050.0,259,0.41842141151428225,0.6753108178384267,2.376296734963528
260,260,11267,822.5,892.5,260,0.6204989910125733,0.8700960317663528,3.030488732573992
261,261,6008,1190.0,472.5,261,0.34629130363464355,0.3845464463195415,1.8640028401582487
262,262,16114,945.0,1277.5,262,0.25522303581237793,0.0,1.255223035812378
263,263,22647,3622.5,1785.0,263,0.28726696968078613,0.14479117459256802,1.4736518662350828
264,264,5774,945.0,455.0,264,0.5165277481079101,0.48283766657888044,2.248764467306458
265,265,4795,3062.5,367.5,265,0.3762779951095581,0.6230442186804449,2.233760043259682
266,266,21616,980.0,1715.0,266,0.482122802734375,0.4608208391791158,2.1651158764569325
267,267,23089,3657.5,1820.0,267,0.5663517951965332,0.0,1.5663517951965331
268,268,9501,717.5,752.5,268,0.40009374618530275,0.6692917532922072,2.3371649443431184
269,269,8720,2450.0,682.5,269,0.3541512250900269,0.38093540929014685,1.8699953762604502
270,270,21617,997.5,1715.0,270,0.5637985706329346,0.2655533512993157,1.9790705218215896
271,271,21337,3797.5,1680.0,271,,,
272,272,9290,875.0,735.0,272,0.4357314586639405,0.7486161154679849,2.5105431661041235
273,273,7533,927.5,595.0,273,0.4341022491455078,0.21211523681175848,1.7382971873352826
274,274,20020,0.0,1592.5,274,0.5687284469604492,0.0,1.5687284469604492
275,275,16374,1645.0,1295.0,275,,,
276,276,9044,420.0,717.5,276,0.3085520267486572,0.28204917850872974,1.6776280509290493
277,277,7314,945.0,577.5,277,0.5853780746459961,0.6883704643882482,2.676705516121007
278,278,19813,227.5,1575.0,278,0.31283919811248784,0.0,1.3128391981124878
279,279,14259,3132.5,1120.0,279,0.26579272747039795,0.0913530601050108,1.3814267665834867
280,280,693,577.5,52.5,280,0.38162095546722413,0.12076217670674765,1.5484685094331025
281,281,13769,2257.5,1085.0,281,,,
282,282,20927,472.5,1662.5,282,0.39044411182403566,0.0534381144875572,1.464746823460238
283,283,14260,3150.0,1120.0,283,,,
284,284,5317,647.5,420.0,284,0.3490137577056885,0.3914846064738696,1.8771318777689359
285,285,7537,997.5,595.0,285,0.6167515754699707,0.6869417825738043,2.727365784702319
286,286,21575,262.5,1715.0,286,0.5216141223907471,0.3569064114043265,2.0646879583553726
287,287,16228,2940.0,1277.5,287,0.45508780479431155,0.0,1.4550878047943114
288,288,8606,455.0,682.5,288,0.34682674407958985,0.0,1.3468267440795898
289,289,8953,2677.5,700.0,289,0.3541570663452149,0.4588086686930601,1.975456067156363
290,290,20263,402.5,1610.0,290,0.5497846603393555,0.8229475213637135,2.825176105213133
291,291,14916,3080.0,1172.5,291,0.3853796720504761,0.0534381144875572,1.4594117495742438
292,292,7760,1050.0,612.5,292,0.528074836730957,0.6577121004542205,2.533108147248515
293,293,13386,3255.0,1050.0,293,0.37960219383239746,0.32188816715540575,1.8236798154086846
294,294,20033,227.5,1592.5,294,0.30490210056304934,0.19822928908012524,1.5635719162768245
295,295,22855,3412.5,1802.5,295,0.2896828889846802,0.0534381144875572,1.358601110858887
296,296,9722,735.0,770.0,296,,,
297,297,11143,2502.5,875.0,297,,,
298,298,21794,245.0,1732.5,298,0.35310328006744385,0.18270612021002158,1.6003235306120207
299,299,21504,2870.0,1697.5,299,0.36382143497467045,0.0,1.3638214349746705
300,300,4448,840.0,350.0,300,0.33275053501129154,0.12076217670674765,1.4936963906263379
301,301,13595,3062.5,1067.5,301,0.30947883129119874,0.39482135702178006,1.8264890404528842
302,302,18519,682.5,1470.0,302,0.4298557758331299,0.0913530601050108,1.5604774764643106
303,303,20178,2765.0,1592.5,303,0.49914088249206545,0.18270612021002158,1.7730430967804185
304,304,9513,927.5,752.5,304,0.6390570640563965,0.8331616389808163,3.0046565339287086
305,305,9171,2642.5,717.5,305,0.3526653051376343,0.12076217670674765,1.516016111741752
306,306,20483,402.5,1627.5,306,0.3521668672561646,0.4910263002386388,2.01611636139023
307,307,15125,2887.5,1190.0,307,0.36022837162017823,0.0534381144875572,1.4329164110720407
308,308,7955,612.5,630.0,308,0.315893030166626,0.43437352377770405,1.887482122594624
309,309,6976,2730.0,542.5,309,0.3659965753555298,0.2740591803150324,1.740360477110608
310,310,20505,787.5,1627.5,310,0.373510217666626,0.5181934132063085,2.0852541654330348
311,311,19979,3132.5,1575.0,311,,,
312,312,7104,1120.0,560.0,312,0.6529244899749757,0.7816630119013336,2.944954425254291
313,313,19801,17.5,1575.0,314,0.43413953781127934,0.0,1.4341395378112793
314,314,20616,2730.0,1627.5,315,0.28846225738525394,0.0534381144875572,1.3573152510083035
315,315,915,612.5,70.0,316,0.5236377716064453,0.14479117459256802,1.7442470742109455
316,316,14915,3062.5,1172.5,317,0.3133013725280762,0.0,1.3133013725280762
317,317,21146,455.0,1680.0,318,0.6150924682617188,0.12076217670674765,1.810134550311678
318,318,21982,3535.0,1732.5,319,0.6407292366027832,0.0,1.6407292366027832
319,319,897,297.5,70.0,320,0.31574151515960697,0.0,1.315741515159607
320,320,7993,1277.5,630.0,321,0.37824778556823735,0.39482135702178006,1.9224094465785522
321,321,21144,420.0,1680.0,322,0.3874773263931275,0.7594072962600117,2.441137731451402
322,322,13606,3255.0,1067.5,323,0.3879674196243286,0.39482135702178006,1.9359665997424242
323,323,896,280.0,70.0,324,0.4580265045166016,0.0,1.4580265045166017
324,324,8407,822.5,665.0,325,0.33927986621856693,0.31602966458654785,1.7625320331271375
325,325,20032,210.0,1592.5,326,0.30403220653533936,0.0,1.3040322065353394
326,326,13145,2887.5,1032.5,327,0.35239706039428714,0.24669343188130163,1.6860245324891379
327,327,12362,735.0,980.0,328,0.3687269449234009,0.4103445258918837,1.9303765542134403
328,328,11365,2537.5,892.5,329,,,
329,329,20241,17.5,1610.0,330,0.30777053833007817,0.0,1.3077705383300782
330,330,8627,822.5,682.5,332,0.35890929698944096,0.38093540929014685,1.8765659662262995
331,331,13933,1277.5,1102.5,333,0.3301714420318604,0.0,1.3301714420318604
332,332,20031,192.5,1592.5,334,0.6476258277893067,0.18270612021002158,1.9486571503425159
